ID_PROVA_BRASIL,ID_ESCOLA,IN_PUBLICA,ID_LOCALIZACAO,ID_TURMA,ID_SERIE,ID_ALUNO,IN_SITUACAO_CENSO,IN_PREENCHIMENTO_PROVA,PESO_ALUNO_LP,PESO_ALUNO_MT,PROFICIENCIA_LP,PROFICIENCIA_LP_SAEB,PROFICIENCIA_MT,PROFICIENCIA_MT_SAEB,IN_PREENCHIMENTO_QUESTIONARIO,Qual é a sua cor ou raça?,Na sua casa tem televisão?,Na sua casa tem geladeira?,Na sua casa tem máquina de lavar roupa?,Na sua casa tem carro?,Na sua casa tem computador?,Na sua casa tem banheiro?,Na sua casa tem quartos para dormir?,"Normalmente, quem mora na sua casa? - Mãe (mães ou madrasta).",Qual é a maior escolaridade da sua mãe (ou mulher responsável por você)?,"Normalmente, quem mora na sua casa? - Pai (pais ou padrasto).",Qual é a maior escolaridade de seu pai (ou homem responsável por você)?,Seus pais ou responsáveis vão à reunião de pais?,"Fora da escola em dias de aula, quanto tempo você usa para: - Lazer (TV, internet, brincar, música etc.).","Fora da escola em dias de aula, quanto tempo você usa para: - Trabalhar em casa (lavar louça, limpar quintal, cuidar dos irmãos).",Você já foi reprovado(a)?,Alguma vez você abandonou a escola deixando de frequentá-la até o final do ano escolar?,Seus pais ou responsáveis incentivam você a estudar?,Seus pais ou responsáveis incentivam você a fazer o dever de casa e/ou os trabalhos da escola?,Seus pais ou responsáveis incentivam você a ir a escola e/ou não faltar às aulas?,Seus pais ou responsáveis conversam com você sobre o que acontece na escola?,Atualmente você trabalha fora de casa (recebendo ou não um salário)?,Na sua casa tem: - Freezer (independente ou segunda porta da geladeira).
2013,61052855,0,1,550427,12,16260059,1,1,"8,40797","8,40797","0,394535","271,72125","-0,936281","197,633456",1,Pardo(a),"Sim, três ou mais","Sim, uma",Sim,"Sim, um","Sim, três ou mais","Sim, três ou mais","Sim, três ou mais",Sim,Ensino Superior completo (faculdade ou graduação),Não respondeu/Não soube responder,Ensino Superior completo (faculdade ou graduação),Sim,Entre 1 e 2 horas,Não uso meu tempo para isso,Não,Não,Não,Não,Sim,Não,Não,Sim
2013,61052855,0,1,550427,12,16260057,1,1,"8,40797","8,40797","0,982094","304,091851","0,757897","292,325009",1,Pardo(a),"Sim, uma","Sim, uma",Sim,"Sim, dois","Sim, um","Sim, um","Sim, dois",Sim,Ensino Superior completo (faculdade ou graduação),Sim,Ensino Médio completo,Não,Menos de 1 hora,Mais de 2 horas,Não,Não,Sim,Não,Sim,Não,Não,Não
2013,61052855,0,1,550427,12,16260055,1,1,"8,40797","8,40797","2,528223","389,273297","3,528148","447,160786",1,Branco(a),"Sim, três ou mais","Sim, uma",Sim,"Sim, dois","Sim, três ou mais","Sim, três ou mais","Sim, três ou mais",Sim,Ensino Superior completo (faculdade ou graduação),Sim,Ensino Superior completo (faculdade ou graduação),Sim,Mais de 2 horas,Menos de 1 hora,Não,Não,Sim,Sim,Sim,Sim,Não,Sim
2013,61052855,0,1,550427,12,16260053,1,1,"8,40797","8,40797","-0,234413","237,07039","-0,317357","232,226559",1,Preto(a),"Sim, duas","Sim, uma",Sim,"Sim, dois","Sim, um","Sim, três ou mais","Sim, três ou mais",Sim,Ensino Superior completo (faculdade ou graduação),Não,Não sei,Sim,Menos de 1 hora,Menos de 1 hora,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim
2013,61052855,0,1,550427,12,16260051,1,1,"8,40797","8,40797","0,583521","282,133124","1,734707","346,921193",1,Pardo(a),Não respondeu/Não soube responder,"Sim, duas",Sim,"Sim, três ou mais","Sim, três ou mais",Não respondeu/Não soube responder,"Sim, três ou mais",Sim,Ensino Superior completo (faculdade ou graduação),Sim,Ensino Superior completo (faculdade ou graduação),Sim,Mais de 2 horas,Menos de 1 hora,Não,Não,Sim,Sim,Sim,Sim,Não,Sim
2013,61052855,0,1,550427,12,16260049,1,1,"8,40797","8,40797","1,046172","307,622124","-0,223455","237,474961",1,Branco(a),"Sim, três ou mais","Sim, uma",Sim,"Sim, três ou mais","Sim, um","Sim, dois","Sim, três ou mais",Sim,Ensino Superior completo (faculdade ou graduação),Sim,Ensino Superior completo (faculdade ou graduação),Sim,Entre 1 e 2 horas,Menos de 1 hora,Não,Não,Sim,Sim,Sim,Sim,Não,Não
2013,61052855,0,1,550427,12,16260048,1,1,"8,40797","8,40797","0,917258","300,519818","0,322297","267,978311",1,Branco(a),Não respondeu/Não soube responder,"Sim, uma",Sim,"Sim, dois","Sim, dois","Sim, um","Sim, um",Sim,Ensino Médio completo,Não,Ensino Médio completo,Sim,Menos de 1 hora,Menos de 1 hora,Não,Não,Sim,Sim,Sim,Não,Sim,Sim
2013,61052855,0,1,550427,12,16260047,1,1,"8,40797","8,40797","-0,53989","220,240634","-0,835888","203,244655",1,Pardo(a),"Sim, três ou mais","Sim, uma",Sim,"Sim, um","Sim, um","Sim, três ou mais","Sim, três ou mais",Sim,Ensino Superior completo (faculdade ou graduação),Não,Ensino Superior completo (faculdade ou graduação),Sim,Entre 1 e 2 horas,Menos de 1 hora,Não,Não,Não respondeu/Não soube responder,Sim,Sim,Sim,Não,Sim
2013,61052855,0,1,550427,12,16260045,1,1,"8,40797","8,40797","-0,241789","236,664021","0,8724","298,724848",1,Pardo(a),"Sim, três ou mais","Sim, duas",Sim,"Sim, um","Sim, três ou mais","Sim, três ou mais","Sim, três ou mais",Sim,Ensino Médio completo,Não,Ensino Fundamental completo,Sim,Entre 1 e 2 horas,Menos de 1 hora,Não,Não,Sim,Não,Sim,Sim,Não,Sim
2013,61052855,0,1,550427,12,16260043,1,1,"8,40797","8,40797","0,411771","272,670839","-0,676015","212,180329",1,Preto(a),"Sim, três ou mais","Sim, duas",Sim,"Sim, dois","Sim, dois","Sim, três ou mais","Sim, três ou mais",Sim,Ensino Superior completo (faculdade ou graduação),Sim,Ensino Superior completo (faculdade ou graduação),Sim,Entre 1 e 2 horas,Menos de 1 hora,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim
2013,61052855,0,1,550427,12,16260041,1,1,"8,40797","8,40797","1,856791","352,28185","1,549681","336,57966",1,Branco(a),"Sim, duas","Sim, uma",Sim,Não,Não,"Sim, um","Sim, três ou mais",Sim,Ensino Fundamental completo,Não,Ensino Médio completo,Não,Mais de 2 horas,Menos de 1 hora,Não,Não,Sim,Não,Sim,Não,Não,Sim
2013,61052855,0,1,550427,12,16260039,1,1,"8,40797","8,40797","-0,821086","204,748601","1,348264","325,321995",1,Preto(a),"Sim, três ou mais","Sim, uma",Sim,"Sim, três ou mais","Sim, três ou mais","Sim, três ou mais","Sim, três ou mais",Não,Ensino Médio completo,Sim,Ensino Médio completo,Sim,Entre 1 e 2 horas,Menos de 1 hora,Não,Não,Sim,Sim,Sim,Não,Não,Sim
2013,61052855,0,1,550427,12,16260037,1,1,"8,40797","8,40797","1,461211","330,488018","1,738105","347,111116",1,Branco(a),"Sim, três ou mais","Sim, uma",Sim,"Sim, dois","Sim, um","Sim, três ou mais","Sim, três ou mais",Sim,Ensino Médio completo,Não,Ensino Médio completo,Sim,Menos de 1 hora,Não uso meu tempo para isso,Não,Não,Sim,Sim,Sim,Sim,Não,Sim
2013,61052855,0,1,550427,12,16260058,1,1,"8,40797","8,40797","1,06377","308,591657","-0,123148","243,081353",1,Branco(a),Não respondeu/Não soube responder,"Sim, uma",Sim,"Sim, um","Sim, três ou mais","Sim, três ou mais","Sim, três ou mais",Sim,Ensino Superior completo (faculdade ou graduação),Sim,Ensino Superior completo (faculdade ou graduação),Sim,Mais de 2 horas,Não uso meu tempo para isso,Não,Não,Sim,Sim,Sim,Não,Não,Sim
